RTCid,Parent,Type,Summary,Sprint,Team,SP,Blocks
1000762,379221,Story,Labs – TXO Ericsson – Test Ericsson parts from second part of 2030 completion order - AIU Board x 2,14.5,Labradors,1,
1000761,379221,Story,Labs – TXO Ericsson – Test Ericsson parts from second part of 2030 completion order - AIU Board x 2,14.5,Labradors,1,
1000760,379221,Story,Labs – TXO Ericsson – Test Ericsson parts from second part of 2030 completion order - AIU Board x 2,14.5,Labradors,1,
1000759,379221,Story,Labs – TXO Ericsson – Test Ericsson parts from second part of 2030 completion order - AIU Board x 2,14.5,Labradors,1,
1000758,379221,Story,Labs – TXO Ericsson – Test Ericsson parts from second part of 2030 completion order - AIU Board x 2,14.5,Labradors,1,
1000757,379221,Story,Labs – TXO Ericsson – Test Ericsson parts from second part of 2030 completion order - AIU Board x 2,14.5,Labradors,1,
1000756,379221,Story,Labs – TXO Ericsson – Test Ericsson parts from second part of 2030 completion order - AIU Board x 2,14.5,Labradors,1,
1000755,379221,Story,Labs – TXO Ericsson – Test Ericsson parts from second part of 2030 completion order - AIU Board x 2,14.1,Labradors,1,
1000754,379221,Story,"Labs – TXO Ericsson – Test Ericsson parts from second part of 2030 completion order - Managing the boards in the v-lab, coordinating swapping/down time and monitor automation",14.5,Labradors,1,
1000753,379221,Story,"Labs – TXO Ericsson – Test Ericsson parts from second part of 2030 completion order - Managing the boards in the v-lab, coordinating swapping/down time and monitor automation",14.4,Labradors,1,
1000752,379221,Story,"Labs – TXO Ericsson – Test Ericsson parts from second part of 2030 completion order - Managing the boards in the v-lab, coordinating swapping/down time and monitor automation",14.5,Labradors,1,
1000751,379221,Story,"Labs – TXO Ericsson – Test Ericsson parts from second part of 2030 completion order - Managing the boards in the v-lab, coordinating swapping/down time and monitor automation",14.2,Labradors,1,
1000750,379221,Story,"Labs – TXO Ericsson – Test Ericsson parts from second part of 2030 completion order - Managing the boards in the v-lab, coordinating swapping/down time and monitor automation",14.3,Labradors,1,
1000642,396002,Story,Feature 396002: SA PI 13 Technical Support - create Splunk – Infra CI setup docs - Ken,14.5,SIC,1,
1000325,395871,Story,Feature 395871: Okapi Trouble Ticket Support - 14.4,14.4,Okapi,1,
1000324,395871,Story,Feature 395871: Okapi Trouble Ticket Support - 14.3,14.3,Okapi,1,
1000323,395871,Story,Feature 395871: Okapi Trouble Ticket Support - 14.2,14.2,Okapi,1,
1000322,395871,Story,Feature 395871: Okapi Trouble Ticket Support - 14.1,14.1,Okapi,1,
1000321,395871,Story,Feature 395871: Trouble Ticket Support - 14.4,14.4,Alicorn,1,
1000320,395871,Story,Feature 395871: Trouble Ticket Support - 14.3,14.3,Alicorn,1,
1000319,395871,Story,Feature 395871: Trouble Ticket Support - 14.2,14.2,Alicorn,1,
1000316,396308,Story,Feature 396308: Okapi PWI Triage/Assessment Support EA 14.4,14.4,Okapi,1,
1000315,396308,Story,Feature 396308: Okapi PWI Triage/Assessment Support EA 14.3,14.3,Okapi,1,
1000313,396308,Story,Feature 396308: Okapi PWI Triage/Assessment Support EA 14.2,14.2,Okapi,1,
1000312,396308,Story,Feature 396308: Okapi PWI Triage/Assessment Support EA 14.1,14.1,Okapi,1,
1000309,396308,Story,Feature 396308: PWI Triage/Assessment Support EA 14.4 (LOE),14.4,Alicorn,1,
1000308,396308,Story,Feature 396308: PWI Triage/Assessment Support EA 14.3 (LOE),14.3,Alicorn,1,
1000307,396308,Story,Feature 396308: PWI Triage/Assessment Support EA 14.2 (LOE),14.2,Alicorn,1,
1000286,395871,Story,Feature 395871: Laptops Trouble Ticket Support - 14.5,14.5,Okapi,1,
1000285,395871,Story,Feature 395871: Laptops Trouble Ticket Support - 14.4,14.4,Okapi,1,
1000284,395871,Story,Feature 395871: Laptops Trouble Ticket Support - 14.3,14.3,Okapi,1,
1000283,395871,Story,Feature 395871: Laptops Trouble Ticket Support - 14.2,14.2,Okapi,1,
1000282,395871,Story,Feature 395871: Laptops Trouble Ticket Support - 14.1,14.1,Okapi,1,
1000268,396308,Story,Feature 396308: WWTS PWI Triage/Assessment Support,14.5,WWTS,1,
1000267,396308,Story,Feature 396308: WWTS PWI Triage/Assessment Support,14.4,WWTS,1,
1000266,396308,Story,Feature 396308: WWTS PWI Triage/Assessment Support,14.3,WWTS,1,
1000265,396308,Story,Feature 396308: WWTS PWI Triage/Assessment Support,14.2,WWTS,1,
1000264,396308,Story,Feature 396308: WWTS PWI Triage/Assessment Support,14.1,WWTS,1,
1000262,396308,Story,Feature 396308: WWTS PWI Triage/Assessment Support,14.4,WWTS,1,
1000261,396308,Story,Feature 396308: WWTS PWI Triage/Assessment Support,14.5,WWTS,1,
1000260,396308,Story,Feature 396308: WWTS PWI Triage/Assessment Support,14.3,WWTS,1,
1000258,396308,Story,Feature 396308: WWTS PWI Triage/Assessment Support,14.2,WWTS,1,
1000257,396308,Story,Feature 396308: WWTS PWI Triage/Assessment Support,14.1,WWTS,3,
1000249,1000204,Story,Release Regression - NMS Automation (xx.5),14.5,Roadrunners,1,
1000248,1000204,Story,Release Regression - NMS Automation (xx.4),14.4,Roadrunners,5,
1000247,1000204,Story,Release Regression - NMS Automation (xx.3),14.3,Roadrunners,5,
1000246,1000204,Story,Release Regression - NMS Automation (xx.2),14.2,Roadrunners,5,
1000245,1000204,Story,Release Regression - NMS Automation (xx.1),14.1,Roadrunners,5,
1000244,1000204,Story,Release Regression - Manual Regression Test Run/Automate (xx.5),14.5,Roadrunners,3,
1000243,1000204,Story,Release Regression - Manual Regression Test Run/Automate (xx.4),14.4,Roadrunners,5,
1000242,1000204,Story,Release Regression - Manual Regression Test Run/Automate (xx.3),14.3,Roadrunners,5,
1000241,1000204,Story,Release Regression - Manual Regression Test Run/Automate (xx.2),14.2,Roadrunners,5,
1000240,1000204,Story,Release Regression - Manual Regression Test Run/Automate (xx.1),14.1,Roadrunners,2,
1000239,1000204,Story,Release Regression - Manual Regression Test Run/Automate (xx.5),14.5,Roadrunners,2,
1000238,1000204,Story,Release Regression - Manual Regression Test Run/Automate (xx.4),14.4,Roadrunners,5,
1000237,1000204,Story,Release Regression - Manual Regression Test Run/Automate (xx.3),14.3,Roadrunners,5,
1000236,1000204,Story,Release Regression - Manual Regression Test Run/Automate (xx.2),14.2,Roadrunners,5,
1000235,1000204,Story,Release Regression - Manual Regression Test Run/Automate (xx.1),14.1,Roadrunners,5,
1000234,1000204,Story,Release Regression - Lab SW Versioning via NodeConfig (xx.5),14.5,Roadrunners,1,
1000233,1000204,Story,Release Regression - Lab SW Versioning via NodeConfig (xx.4),14.4,Roadrunners,1,
1000232,1000204,Story,Release Regression - Lab SW Versioning via NodeConfig (xx.3),14.3,Roadrunners,1,
1000231,1000204,Story,Release Regression - Lab SW Versioning via NodeConfig (xx.2),14.2,Roadrunners,1,
1000230,1000204,Story,Release Regression - Lab SW Versioning via NodeConfig (xx.1),14.1,Roadrunners,1,
1000229,1000204,Story,Release Regression - EAD15 Regression Test Selection (xx.1),14.1,Roadrunners,2,
1000228,1000204,Story,Release Regression - Call Automation (xx.5),14.5,Labradors,1,
1000227,1000204,Story,Release Regression - Call Automation (xx.4),14.4,Labradors,1,
1000226,1000204,Story,Release Regression - Call Automation (xx.3),14.3,Labradors,1,
1000225,1000204,Story,Release Regression - Call Automation (xx.2),14.2,Labradors,1,
1000224,1000204,Story,Release Regression - Call Automation (xx.1),14.1,Labradors,1,
1000223,1000204,Story,Auto - RFR Regression - Test script bug fixes and maintenance (xx.5),14.5,Roadrunners,2,
1000222,1000204,Story,Auto - RFR Regression - Test script bug fixes and maintenance (xx.4),14.4,Roadrunners,2,
1000221,1000204,Story,Auto - RFR Regression - Test script bug fixes and maintenance (xx.3),14.3,Roadrunners,2,
1000220,1000204,Story,Auto - RFR Regression - Test script bug fixes and maintenance (xx.2),14.2,Roadrunners,2,
1000219,1000204,Story,Auto - RFR Regression - Test script bug fixes and maintenance (xx.1),14.1,Roadrunners,3,
1000204,262134,Feature,Release Regression - EAD 16 Regression Testing (PI14),14.5,Roadrunners,0,
1000158,396819,Story,"Lab - Maintain WDEs - Debug, recovery, repair, RF calibration, and IULAN - Brian (14.5)",14.5,Labradors,1,
1000157,396819,Story,"Lab - Maintain WDEs - Debug, recovery, repair, RF calibration, and IULAN - Brian (14.4)",14.4,Labradors,3,
1000156,396819,Story,"Lab - Maintain WDEs - Debug, recovery, repair, RF calibration, and IULAN - Brian (14.3)",14.3,Labradors,3,
1000155,396819,Story,"Lab - Maintain WDEs - Debug, recovery, repair, RF calibration, and IULAN - Brian (14.2)",14.2,Labradors,3,
1000154,396819,Story,"Lab - Maintain WDEs - Debug, recovery, repair, RF calibration, and IULAN - Brian (14.1)",14.1,Labradors,3,
1000153,396819,Story,Feature 396819: Lab - Maintain OTA Call Banks - SME Support - Loretta (14.5),14.5,WWTS,1,
1000152,396819,Story,Feature 396819: Lab - Maintain OTA Call Banks - SME Support - Loretta (14.3),14.3,WWTS,1,
1000151,396819,Story,Feature 396819: Lab - Maintain OTA Call Banks - SME Support - Loretta (14.1),14.1,WWTS,1,
1000150,396819,Story,Lab - Maintain OTA Call Banks - Carl (14.5),14.5,Labradors,3,
1000149,396819,Story,Lab - Maintain OTA Call Banks - Carl (14.4),14.4,Labradors,5,
1000148,396819,Story,Lab - Maintain OTA Call Banks - Carl (14.3),14.3,Labradors,5,
1000147,396819,Story,Lab - Maintain OTA Call Banks - Carl (14.2),14.2,Labradors,5,
1000146,396819,Story,Lab - Maintain OTA Call Banks - Carl (14.1),14.1,Labradors,5,
1000145,396819,Story,Lab - Maintain Labs - V-Labs Network and Account Administrator - Allen (14.5),14.5,TOFF,1,
1000144,396819,Story,Lab - Maintain Labs - V-Labs Network and Account Administrator - Allen (14.4),14.4,TOFF,2,
1000143,396819,Story,Lab - Maintain Labs - V-Labs Network and Account Administrator - Allen (14.3),14.3,TOFF,2,
1000142,396819,Story,Lab - Maintain Labs - V-Labs Network and Account Administrator - Allen (14.2),14.2,TOFF,2,
1000141,396819,Story,Lab - Maintain Labs - V-Labs Network and Account Administrator - Allen (14.1),14.1,TOFF,2,
1000140,396819,Story,"Lab - Maintain Labs - Technician including lab maintenance, installs and repairs - Val (14.5)",14.5,Labradors,3,
1000139,396819,Story,"Lab - Maintain Labs - Technician including lab maintenance, installs and repairs - Val (14.4)",14.4,Labradors,3,
1000138,396819,Story,"Lab - Maintain Labs - Technician including lab maintenance, installs and repairs - Val (14.3)",14.3,Labradors,3,
1000137,396819,Story,"Lab - Maintain Labs - Technician including lab maintenance, installs and repairs - Val (14.2)",14.2,Labradors,3,
1000136,396819,Story,"Lab - Maintain Labs - Technician including lab maintenance, installs and repairs - Val (14.1)",14.1,Labradors,3,
1000135,396819,Story,"Lab - Maintain Labs - Technician 2 including lab maintenance, installs and repairs - Beth (14.5)",14.5,Labradors,3,
1000134,396819,Story,"Lab - Maintain Labs - Technician 2 including lab maintenance, installs and repairs - Beth (14.4)",14.4,Labradors,3,
1000133,396819,Story,"Lab - Maintain Labs - Technician 2 including lab maintenance, installs and repairs - Beth (14.3)",14.3,Labradors,3,
1000132,396819,Story,"Lab - Maintain Labs - Technician 2 including lab maintenance, installs and repairs - Beth (14.2)",14.2,Labradors,3,
1000131,396819,Story,"Lab - Maintain Labs - Technician 2 including lab maintenance, installs and repairs - Beth (14.1)",14.1,Labradors,3,
1000130,396819,Story,Lab - Maintain Labs - Support - Provide NMS and Provisioning Support for SSCPAC Testing - Havis (14.5),14.5,Labradors,2,
1000129,396819,Story,Lab - Maintain Labs - Support - Provide NMS and Provisioning Support for SSCPAC Testing - Havis (14.4),14.4,Labradors,2,
1000128,396819,Story,Lab - Maintain Labs - Support - Provide NMS and Provisioning Support for SSCPAC Testing - Havis (14.3),14.3,Labradors,2,
1000127,396819,Story,Lab - Maintain Labs - Support - Provide NMS and Provisioning Support for SSCPAC Testing - Havis (14.2),14.2,Labradors,2,
1000126,396819,Story,Lab - Maintain Labs - Support - Provide NMS and Provisioning Support for SSCPAC Testing - Havis (14.1),14.1,Labradors,2,
1000125,396819,Story,"Lab - Maintain Labs - RF, WCTB, WILMAs outage debug, recovery and repair - Glen (14.5)",14.5,Labradors,2,
1000124,396819,Story,"Lab - Maintain Labs - RF, WCTB, WILMAs outage debug, recovery and repair - Glen (14.4)",14.4,Labradors,2,
1000123,396819,Story,"Lab - Maintain Labs - RF, WCTB, WILMAs outage debug, recovery and repair - Glen (14.3)",14.3,Labradors,2,
1000122,396819,Story,"Lab - Maintain Labs - RF, WCTB, WILMAs outage debug, recovery and repair - Glen (14.2)",14.2,Labradors,2,
1000121,396819,Story,"Lab - Maintain Labs - RF, WCTB, WILMAs outage debug, recovery and repair - Glen (14.1)",14.1,Labradors,2,
1000120,396819,Story,Lab - Maintain Labs - RF maintenance and problem resolution (non-WDE radio work) - Brian (14.5),14.5,Labradors,2,
1000119,396819,Story,Lab - Maintain Labs - RF maintenance and problem resolution (non-WDE radio work) - Brian (14.4),14.4,Labradors,2,
1000118,396819,Story,Lab - Maintain Labs - RF maintenance and problem resolution (non-WDE radio work) - Brian (14.3),14.3,Labradors,2,
1000117,396819,Story,Lab - Maintain Labs - RF maintenance and problem resolution (non-WDE radio work) - Brian (14.2),14.2,Labradors,2,
1000116,396819,Story,Lab - Maintain Labs - RF maintenance and problem resolution (non-WDE radio work) - Brian (14.1),14.1,Labradors,2,
1000115,396819,Story,Lab - Maintain Labs - RBS/RNC Health Checks (14.5),14.5,Labradors,1,
1000114,396819,Story,Lab - Maintain Labs - RBS/RNC Health Checks (14.4),14.4,Labradors,1,
1000113,396819,Story,Lab - Maintain Labs - RBS/RNC Health Checks (14.3),14.3,Labradors,1,
1000112,396819,Story,Lab - Maintain Labs - RBS/RNC Health Checks (14.2),14.2,Labradors,1,
1000111,396819,Story,Lab - Maintain Labs - RBS/RNC Health Checks (14.1),14.1,Labradors,1,
1000110,396819,Story,"Feature 396819: Lab - Maintain Labs - RAN outage debug, recovery, repair and Maintenance - Katy (14.5)",14.5,WWTS,1,
1000109,396819,Story,"Feature 396819: Lab - Maintain Labs - RAN outage debug, recovery, repair and Maintenance - Katy (14.4)",14.4,WWTS,1,
1000108,396819,Story,"Feature 396819: Lab - Maintain Labs - RAN outage debug, recovery, repair and Maintenance - Katy (14.3)",14.3,Labradors,1,
1000107,396819,Story,"Feature 396819: Lab - Maintain Labs - RAN outage debug, recovery, repair and Maintenance - Katy (14.2)",14.2,WWTS,1,
1000106,396819,Story,"Feature 396819: Lab - Maintain Labs - RAN outage debug, recovery, repair and Maintenance - Katy (14.1)",14.1,WWTS,1,
1000105,396819,Story,Lab - Maintain Labs - PRC 155 repairs and status - Tim (14.5),14.5,Labradors,1,
1000104,396819,Story,Lab - Maintain Labs - PRC 155 repairs and status - Tim (14.4),14.4,Labradors,1,
1000103,396819,Story,Lab - Maintain Labs - PRC 155 repairs and status - Tim (14.3),14.3,Labradors,1,
1000102,396819,Story,Lab - Maintain Labs - PRC 155 repairs and status - Tim (14.2),14.2,Labradors,1,
1000101,396819,Story,Lab - Maintain Labs - PRC 155 repairs and status - Tim (14.1),14.1,Labradors,1,
1000100,396819,Story,"Lab - Maintain Labs - NMS, Secure Servers outage debug, recovery and repair - ??? (14.1)",14.5,Labradors,2,
1000099,396819,Story,"Lab - Maintain Labs - NMS, Secure Servers outage debug, recovery and repair - ??? (14.5)",14.4,Labradors,2,
1000098,396819,Story,"Lab - Maintain Labs - NMS, Secure Servers outage debug, recovery and repair - ??? (14.4)",14.3,Labradors,2,
1000097,396819,Story,"Lab - Maintain Labs - NMS, Secure Servers outage debug, recovery and repair - ??? (14.3)",14.2,Labradors,2,
1000096,396819,Story,"Lab - Maintain Labs - NMS, Secure Servers outage debug, recovery and repair - ??? (14.2)",14.1,Labradors,2,
1000095,396819,Story,Lab - Maintain Labs - NMS SME Support - Colin (14.5),14.5,SIC,1,
1000094,396819,Story,Lab - Maintain Labs - NMS SME Support - Colin (14.4),14.4,SIC,1,
1000093,396819,Story,Lab - Maintain Labs - NMS SME Support - Colin (14.3),14.3,SIC,1,
1000092,396819,Story,Lab - Maintain Labs - NMS SME Support - Colin (14.2),14.2,SIC,1,
1000091,396819,Story,Lab - Maintain Labs - NMS SME Support - Colin (14.1),14.1,SIC,1,
1000090,396819,Story,Lab - Maintain Labs - Labs Scheduling and Maintenance - Havis (14.5),14.5,Labradors,2,
1000089,396819,Story,Lab - Maintain Labs - Labs Scheduling and Maintenance - Havis (14.4),14.4,Labradors,5,
1000088,396819,Story,Lab - Maintain Labs - Labs Scheduling and Maintenance - Havis (14.3),14.3,Labradors,5,
1000087,396819,Story,Lab - Maintain Labs - Labs Scheduling and Maintenance - Havis (14.2),14.2,Labradors,2,
1000086,396819,Story,Lab - Maintain Labs - Labs Scheduling and Maintenance - Havis (14.1),14.1,Labradors,5,
1000084,396819,Story,"Lab - Maintain Labs - Facility Management, security, GFE, calibration, test equipment repairs - Tim (14.5)",14.5,Labradors,3,
