RTCid,Parent,Sprint,SP
1007780,342054,14.3,2
1007775,1000204,14.5,3
1007770,392743,14.1,5
1007769,392743,14.1,5
1007768,388053,14.3,5
1007767,388004,14.4,3
1007766,388004,14.3,3
1007765,388004,14.3,3
1007764,388004,14.2,3
1007763,388004,14.2,3
1007762,388004,14.1,1
1007761,388004,14.1,1
1007760,388004,14.1,1
1007759,388004,14.2,2
1007753,1007536,14.1,2
1007751,1007536,14.1,2
1007748,1007536,14.1,2
1007743,279283,14.3,1
1007742,279283,14.3,1
1007741,279283,14.4,1
1007740,279283,14.2,1
1007739,279283,14.1,1
1007737,279283,14.4,1
1007736,279283,14.2,1
1007735,279283,14.1,1
1007734,395855,14.2,1
1007732,279283,14.1,2
1007729,279283,14.2,1
1007728,279283,14.1,1
1007720,385856,14.1,1
1007694,377437,14.4,3
1007683,385442,14.1,2
1007628,1005740,14.4,3
1007627,1005740,14.4,3
1007607,385856,14.3,1
1007606,385856,14.2,1
1007605,384136,14.4,1
1007604,385856,14.2,1
1007603,384136,14.4,3
1007596,1007569,14.2,1
1007595,1007569,14.2,1
1007594,1007569,14.2,1
1007593,1007569,14.1,1
1007588,1007569,14.1,1
1007587,1007569,14.1,2
1007576,355228,14.1,5
1007490,1004171,14.3,1
1007486,1004171,14.3,2
1007473,385856,14.2,1
1007472,385856,14.2,5
1007467,386935,14.3,1
1007466,386935,14.2,1
1007443,396819,14.5,1
1007442,396819,14.4,1
1007441,396819,14.3,1
1007440,396819,14.2,1
1007437,396819,14.1,1
1007435,384136,14.5,5
1007434,384136,14.4,5
1007433,384136,14.3,5
1007432,384136,14.2,5
1007390,1002036,14.4,1
1007389,1002036,14.4,1
1007388,1002036,14.4,1
1007387,1002036,14.4,1
1007383,297335,14.2,8
1007360,395871,14.3,2
1007352,379221,14.5,1
1007351,379221,14.5,1
1007350,379221,14.5,1
1007349,379221,14.5,1
1007294,387276,14.4,5
1007293,387276,14.3,5
1007292,387276,14.2,5
1007291,387276,14.1,5
1007290,388549,14.4,5
1007289,388549,14.3,5
1007285,388549,14.2,5
1007284,388549,14.1,5
1007283,387276,14.4,1
1007282,387276,14.3,1
1007270,387276,14.2,1
1007269,387276,14.1,1
1007254,1006376,14.1,2
1007201,396819,14.1,2
1007176,297335,14.5,5
1007157,388549,14.2,5
1007156,388549,14.3,3
1007155,388549,14.2,3
1007123,384136,14.2,5
1007107,384136,14.2,8
1007102,384036,14.3,3
1007101,384036,14.1,3
1007100,384036,14.4,2
1007099,384036,14.2,3
1007095,384036,14.3,5
1007094,384036,14.4,5
1007092,384036,14.2,3
1007085,384036,14.1,3
1007051,396437,14.2,1
1007049,384136,14.3,2
1007048,396415,14.4,2
1007047,396415,14.5,2
